Date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,ROL,RON,SEK,SIT,SKK,CHF,ISK,NOK,HRK,RUB,TRL,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,
2021-01-05,1.2271,126.25,1.9558,N/A,26.227,7.4387,N/A,0.90333,360.27,N/A,N/A,N/A,4.5473,N/A,4.8721,10.057,N/A,N/A,1.0803,156.1,10.4713,7.5588,91.6715,N/A,9.0694,1.5927,6.5517,1.5651,7.9315,9.5136,17075.1,3.9277,89.867,1335.85,24.586,4.9293,1.7036,59.02,1.618,36.776,18.4194,
2021-01-04,1.2296,126.62,1.9558,N/A,26.141,7.4379,N/A,0.9016,361.32,N/A,N/A,N/A,4.5475,N/A,4.8713,10.0895,N/A,N/A,1.0811,156.1,10.444,7.5565,90.342,N/A,9.0579,1.5928,6.3241,1.5621,7.9484,9.533,17062.67,3.943,89.789,1332.03,24.3031,4.9264,1.7065,59.058,1.6198,36.728,17.9214,
2020-12-31,1.2271,126.49,1.9558,N/A,26.242,7.4409,N/A,0.89903,363.89,N/A,N/A,N/A,4.5597,N/A,4.8683,10.0343,N/A,N/A,1.0802,156.1,10.4703,7.5519,91.4671,N/A,9.1131,1.5896,6.3735,1.5633,8.0225,9.5142,17240.76,3.9447,89.6605,1336,24.416,4.934,1.6984,59.125,1.6218,36.727,18.0219,
2020-12-30,1.2281,126.57,1.9558,N/A,26.252,7.4393,N/A,0.90307,364.88,N/A,N/A,N/A,4.5565,N/A,4.8681,10.0568,N/A,N/A,1.0857,156.1,10.547,7.546,91.8851,N/A,9.0321,1.6025,6.3574,1.5701,8.0134,9.521,17254.81,3.9429,89.8824,1335.83,24.3733,4.9578,1.7071,59.026,1.6257,36.769,18.0053,
2020-12-29,1.2259,127.23,1.9558,N/A,26.302,7.4382,N/A,0.90863,364.53,N/A,N/A,N/A,4.5308,N/A,4.8757,10.084,N/A,N/A,1.0862,156.3,10.55,7.5447,90.1883,N/A,9.0177,1.6121,6.3717,1.5713,8.007,9.5043,17305.6,3.9363,89.942,1340.33,24.4001,4.9655,1.7171,58.903,1.6274,36.826,17.9651,
2020-12-28,1.2219,126.54,1.9558,N/A,26.247,7.4361,N/A,0.90408,363.46,N/A,N/A,N/A,4.4907,N/A,4.8745,10.107,N/A,N/A,1.0854,156.1,10.5713,7.5435,90.0681,N/A,9.1254,1.6083,6.3443,1.5677,7.9906,9.4731,17337.66,3.9275,89.8145,1340.87,24.3136,4.949,1.716,58.7,1.6237,36.865,17.8008,
2020-12-24,1.2193,126.38,1.9558,N/A,26.299,7.4389,N/A,0.89795,361.62,N/A,N/A,N/A,4.5022,N/A,4.8725,10.0763,N/A,N/A,1.0851,155.9,10.5108,7.5461,90.5914,N/A,9.2275,1.6039,6.3608,1.5656,7.9624,9.4532,17314.06,3.9221,89.6845,1344.97,24.3475,4.951,1.7168,58.559,1.6195,36.689,17.8252,
2020-12-23,1.2166,125.99,1.9558,N/A,26.372,7.438,N/A,0.907,362.65,N/A,N/A,N/A,4.5025,N/A,4.871,10.1213,N/A,N/A,1.0837,155.9,10.6238,7.544,91.636,N/A,9.2946,1.6118,6.2867,1.5671,7.9549,9.4321,17351.03,3.9193,89.7945,1347.45,24.4449,4.9437,1.7208,58.453,1.6235,36.772,17.7895,
2020-12-22,1.2239,126.52,1.9558,N/A,26.303,7.4401,N/A,0.91148,362.33,N/A,N/A,N/A,4.5116,N/A,4.8665,10.1143,N/A,N/A,1.0837,156.1,10.5938,7.542,92.2025,N/A,9.3325,1.6191,6.2842,1.5753,8.0056,9.4885,17410.1,3.9621,90.3975,1353.44,24.4948,4.9703,1.7299,58.87,1.6327,36.901,17.8544,
2020-12-21,1.2173,126.04,1.9558,N/A,26.275,7.4401,N/A,0.9161,360.93,N/A,N/A,N/A,4.5111,N/A,4.8603,10.1313,N/A,N/A,1.081,156.6,10.6518,7.5375,91.7285,N/A,9.3519,1.62,6.3144,1.5686,7.9784,9.4378,17351.52,3.9564,90.1338,1350.52,24.8514,4.9313,1.7306,58.833,1.6286,36.653,18.0849,
2020-12-18,1.2259,126.69,1.9558,N/A,26.139,7.4393,N/A,0.90828,357.24,N/A,N/A,N/A,4.4779,N/A,4.8688,10.1333,N/A,N/A,1.0845,156.4,10.5163,7.5328,90.2025,N/A,9.3988,1.6107,6.2668,1.5638,8.0146,9.5039,17337.6,3.9676,90.117,1346.95,24.328,4.9532,1.7201,58.93,1.6282,36.556,17.8699,
2020-12-17,1.2246,126.19,1.9558,N/A,26.204,7.4398,N/A,0.9005,355.27,N/A,N/A,N/A,4.4423,N/A,4.8695,10.1335,N/A,N/A,1.0821,155.4,10.5015,7.5315,89.3049,N/A,9.4828,1.6052,6.2136,1.5546,8.0006,9.4939,17293.8,3.9785,90.116,1338.48,24.2407,4.9419,1.7093,58.799,1.6227,36.554,17.982,
2020-12-16,1.2189,125.97,1.9558,N/A,26.2,7.4415,N/A,0.8995,355.52,N/A,N/A,N/A,4.4354,N/A,4.8688,10.1785,N/A,N/A,1.0786,155.2,10.5788,7.5373,89.4535,N/A,9.5219,1.6103,6.2306,1.5551,7.9633,9.4489,17259.87,3.9663,89.773,1332.9,24.2123,4.9384,1.7168,58.605,1.6203,36.616,18.1175,
2020-12-15,1.214,126.08,1.9558,N/A,26.361,7.4427,N/A,0.90795,355.32,N/A,N/A,N/A,4.4426,N/A,4.8688,10.1928,N/A,N/A,1.077,154.8,10.614,7.5262,89.4183,N/A,9.5295,1.6113,6.1783,1.5473,7.9462,9.411,17196.01,3.9515,89.34,1327.69,24.4905,4.9222,1.7174,58.334,1.6195,36.467,18.1409,
2020-12-14,1.2162,126.11,1.9558,N/A,26.317,7.4421,N/A,0.907,353.63,N/A,N/A,N/A,4.4373,N/A,4.8707,10.193,N/A,N/A,1.0776,155,10.5833,7.529,88.7888,N/A,9.5728,1.6064,6.1237,1.5476,7.9588,9.4274,17216.41,3.9614,89.4505,1327.5,24.3753,4.9299,1.7101,58.417,1.6202,36.583,18.2339,
2020-12-11,1.2127,126.28,1.9558,N/A,26.328,7.4429,N/A,0.92294,354.81,N/A,N/A,N/A,4.4358,N/A,4.8698,10.256,N/A,N/A,1.0786,154.8,10.6968,7.5375,88.7373,N/A,9.5678,1.609,6.1448,1.5487,7.9386,9.3999,17074.82,3.9469,89.4705,1325.32,24.4157,4.9133,1.71,58.339,1.6213,36.496,18.3435,
2020-12-10,1.2115,126.53,1.9558,N/A,26.307,7.4423,N/A,0.911,355.24,N/A,N/A,N/A,4.4268,N/A,4.8695,10.2395,N/A,N/A,1.0757,154.3,10.7,7.5455,88.8661,N/A,9.526,1.6161,6.1606,1.5456,7.9254,9.3908,17088.21,3.9367,89.2515,1318.52,24.0863,4.9199,1.7184,58.302,1.6202,36.418,18.1755,
2020-12-09,1.2109,126.05,1.9558,N/A,26.239,7.4429,N/A,0.9,356.64,N/A,N/A,N/A,4.4246,N/A,4.8685,10.2745,N/A,N/A,1.0764,153.5,10.5763,7.549,89.167,N/A,9.4762,1.6185,6.1993,1.5472,7.9167,9.3866,17078,3.9406,89.212,1314.27,23.9187,4.9196,1.7103,58.298,1.6174,36.388,18.0756,
2020-12-08,1.2114,126.18,1.9558,N/A,26.398,7.4436,N/A,0.91143,360.1,N/A,N/A,N/A,4.4663,N/A,4.8728,10.2358,N/A,N/A,1.0781,152.9,10.6283,7.5403,88.764,N/A,9.487,1.6334,6.1906,1.5508,7.9115,9.3895,17134.16,3.9414,89.203,1314.53,24.0683,4.9328,1.722,58.359,1.6209,36.415,18.2159,
2020-12-07,1.2128,126.3,1.9558,N/A,26.482,7.4433,N/A,0.91215,359.49,N/A,N/A,N/A,4.467,N/A,4.8735,10.2018,N/A,N/A,1.0802,152.7,10.6328,7.54,89.79,N/A,9.5053,1.6374,6.2124,1.5537,7.931,9.3999,17214.85,3.9562,89.6285,1316.88,24.0901,4.9385,1.7252,58.421,1.6212,36.669,18.4244,
2020-12-04,1.2159,126.44,1.9558,N/A,26.518,7.4429,N/A,0.90282,358.57,N/A,N/A,N/A,4.4769,N/A,4.8725,10.2578,N/A,N/A,1.0822,152.1,10.6598,7.5415,90.0679,N/A,9.4636,1.6387,6.2759,1.5633,7.9421,9.424,17222.37,3.972,89.6755,1320.6,24.1091,4.9366,1.7254,58.43,1.6206,36.672,18.4674,
2020-12-03,1.2151,126.49,1.9558,N/A,26.42,7.4439,N/A,0.90358,357.63,N/A,N/A,N/A,4.4733,N/A,4.873,10.3025,N/A,N/A,1.0831,153,10.707,7.547,90.8441,N/A,9.5021,1.6361,6.3037,1.5692,7.9567,9.4188,17181.51,3.974,89.709,1325.91,24.1384,4.9453,1.7175,58.299,1.6228,36.66,18.5475,
2020-12-02,1.2066,126.13,1.9558,N/A,26.411,7.4438,N/A,0.9049,357.4,N/A,N/A,N/A,4.4783,N/A,4.8714,10.2813,N/A,N/A,1.0819,155.4,10.7003,7.552,91.3194,N/A,9.457,1.6384,6.2962,1.5619,7.9203,9.3535,17145.18,3.9705,88.9695,1330.2,24.2499,4.9199,1.7137,57.984,1.6176,36.5,18.5579,
2020-12-01,1.1968,124.92,1.9558,N/A,26.235,7.4441,N/A,0.89798,357.2,N/A,N/A,N/A,4.4788,N/A,4.871,10.2135,N/A,N/A,1.0836,158.2,10.6028,7.5515,90.7837,N/A,9.4122,1.6274,6.3573,1.5522,7.8639,9.2774,16981.99,3.9541,88.1535,1326.72,24.0465,4.8835,1.701,57.598,1.6048,36.215,18.3311,
